# CyberPhoto lyckokakor
# Format:
# Huvudtext | Förklarande text
# Rader som börjar med # ignoreras.

Mot 2030 bygger vi CyberPhoto när vi ser osäkerheten bakom frågan. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Det lilla extra idag kan vara att du dubbelkollar en viktig detalj. | Små förbättringar blir stora när många gör dem varje dag.
Dagens möjlighet är att du väljer tydlighet framför snabbhet. | Det är så vi blir det självklara valet för kunden över tid.
På väg in i dagen kan du gör det lättare att säga ja. | När människor känner sig trygga kommer de tillbaka.
Idag kan du förklarar skillnaden mellan två val. | Det gör skillnad både för kunden och kollegan.
Just idag kan du tar bort ett onödigt hinder. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
En kund kan minnas att du visar omtanke i en liten detalj. | Det är så kultur blir verklighet i vardagen.
En kollega kan få en bättre dag om du ger någon några minuter extra. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Mot 2030 bygger vi CyberPhoto när vi löser problemet istället för ärendet. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Det lilla extra idag kan vara att du skapar lugn i ett stressat läge. | Det är den lilla skillnaden som gör skillnaden.
Dagens möjlighet är att du berättar vad som händer härnäst. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
På väg in i dagen kan du gör vardagen enklare för någon annan. | En liten handling kan förändra hela upplevelsen för någon annan.
Idag kan du skriver lite mer mänskligt. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Just idag kan du hjälper kunden känna sig trygg. | Små förbättringar blir stora när många gör dem varje dag.
En kund kan minnas att du stannar kvar tills problemet är löst. | Det är så vi blir det självklara valet för kunden över tid.
En kollega kan få en bättre dag om du väljer kvalitet före genvägar. | När människor känner sig trygga kommer de tillbaka.
Mot 2030 bygger vi CyberPhoto när vi ser möjligheten till förbättring. | Det gör skillnad både för kunden och kollegan.
Det lilla extra idag kan vara att du lyssnar färdigt innan du svarar. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
Dagens möjlighet är att du gör nästa steg tydligt för kunden. | Det är så kultur blir verklighet i vardagen.
På väg in i dagen kan du ringer istället för att bara skriva. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Idag kan du följer upp innan någon behöver fråga. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Just idag kan du ger ett råd som verkligen hjälper. | Det är den lilla skillnaden som gör skillnaden.
En kund kan minnas att du förenklar informationen lite till. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
En kollega kan få en bättre dag om du hjälper nästa person i kedjan. | En liten handling kan förändra hela upplevelsen för någon annan.
Mot 2030 bygger vi CyberPhoto när vi tar ansvar hela vägen till lösning. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Det lilla extra idag kan vara att du ser osäkerheten bakom frågan. | Små förbättringar blir stora när många gör dem varje dag.
Dagens möjlighet är att du dubbelkollar en viktig detalj. | Det är så vi blir det självklara valet för kunden över tid.
På väg in i dagen kan du väljer tydlighet framför snabbhet. | När människor känner sig trygga kommer de tillbaka.
Idag kan du gör det lättare att säga ja. | Det gör skillnad både för kunden och kollegan.
Just idag kan du förklarar skillnaden mellan två val. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
En kund kan minnas att du tar bort ett onödigt hinder. | Det är så kultur blir verklighet i vardagen.
En kollega kan få en bättre dag om du visar omtanke i en liten detalj. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Mot 2030 bygger vi CyberPhoto när vi ger någon några minuter extra. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Det lilla extra idag kan vara att du löser problemet istället för ärendet. | Det är den lilla skillnaden som gör skillnaden.
Dagens möjlighet är att du skapar lugn i ett stressat läge. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
På väg in i dagen kan du berättar vad som händer härnäst. | En liten handling kan förändra hela upplevelsen för någon annan.
Idag kan du gör vardagen enklare för någon annan. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Just idag kan du skriver lite mer mänskligt. | Små förbättringar blir stora när många gör dem varje dag.
En kund kan minnas att du hjälper kunden känna sig trygg. | Det är så vi blir det självklara valet för kunden över tid.
En kollega kan få en bättre dag om du stannar kvar tills problemet är löst. | När människor känner sig trygga kommer de tillbaka.
Mot 2030 bygger vi CyberPhoto när vi väljer kvalitet före genvägar. | Det gör skillnad både för kunden och kollegan.
Det lilla extra idag kan vara att du ser möjligheten till förbättring. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
Dagens möjlighet är att du lyssnar färdigt innan du svarar. | Det är så kultur blir verklighet i vardagen.
På väg in i dagen kan du gör nästa steg tydligt för kunden. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Idag kan du ringer istället för att bara skriva. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Just idag kan du följer upp innan någon behöver fråga. | Det är den lilla skillnaden som gör skillnaden.
En kund kan minnas att du ger ett råd som verkligen hjälper. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
En kollega kan få en bättre dag om du förenklar informationen lite till. | En liten handling kan förändra hela upplevelsen för någon annan.
Mot 2030 bygger vi CyberPhoto när vi hjälper nästa person i kedjan. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Det lilla extra idag kan vara att du tar ansvar hela vägen till lösning. | Små förbättringar blir stora när många gör dem varje dag.
Dagens möjlighet är att du ser osäkerheten bakom frågan. | Det är så vi blir det självklara valet för kunden över tid.
På väg in i dagen kan du dubbelkollar en viktig detalj. | När människor känner sig trygga kommer de tillbaka.
Idag kan du väljer tydlighet framför snabbhet. | Det gör skillnad både för kunden och kollegan.
Just idag kan du gör det lättare att säga ja. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
En kund kan minnas att du förklarar skillnaden mellan två val. | Det är så kultur blir verklighet i vardagen.
En kollega kan få en bättre dag om du tar bort ett onödigt hinder. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Mot 2030 bygger vi CyberPhoto när vi visar omtanke i en liten detalj. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Det lilla extra idag kan vara att du ger någon några minuter extra. | Det är den lilla skillnaden som gör skillnaden.
Dagens möjlighet är att du löser problemet istället för ärendet. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
På väg in i dagen kan du skapar lugn i ett stressat läge. | En liten handling kan förändra hela upplevelsen för någon annan.
Idag kan du berättar vad som händer härnäst. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Just idag kan du gör vardagen enklare för någon annan. | Små förbättringar blir stora när många gör dem varje dag.
En kund kan minnas att du skriver lite mer mänskligt. | Det är så vi blir det självklara valet för kunden över tid.
En kollega kan få en bättre dag om du hjälper kunden känna sig trygg. | När människor känner sig trygga kommer de tillbaka.
Mot 2030 bygger vi CyberPhoto när vi stannar kvar tills problemet är löst. | Det gör skillnad både för kunden och kollegan.
Det lilla extra idag kan vara att du väljer kvalitet före genvägar. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
Dagens möjlighet är att du ser möjligheten till förbättring. | Det är så kultur blir verklighet i vardagen.
På väg in i dagen kan du lyssnar färdigt innan du svarar. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Idag kan du gör nästa steg tydligt för kunden. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Just idag kan du ringer istället för att bara skriva. | Det är den lilla skillnaden som gör skillnaden.
En kund kan minnas att du följer upp innan någon behöver fråga. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
En kollega kan få en bättre dag om du ger ett råd som verkligen hjälper. | En liten handling kan förändra hela upplevelsen för någon annan.
Mot 2030 bygger vi CyberPhoto när vi förenklar informationen lite till. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Det lilla extra idag kan vara att du hjälper nästa person i kedjan. | Små förbättringar blir stora när många gör dem varje dag.
Dagens möjlighet är att du tar ansvar hela vägen till lösning. | Det är så vi blir det självklara valet för kunden över tid.
På väg in i dagen kan du ser osäkerheten bakom frågan. | När människor känner sig trygga kommer de tillbaka.
Idag kan du dubbelkollar en viktig detalj. | Det gör skillnad både för kunden och kollegan.
Just idag kan du väljer tydlighet framför snabbhet. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
En kund kan minnas att du gör det lättare att säga ja. | Det är så kultur blir verklighet i vardagen.
En kollega kan få en bättre dag om du förklarar skillnaden mellan två val. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Mot 2030 bygger vi CyberPhoto när vi tar bort ett onödigt hinder. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Det lilla extra idag kan vara att du visar omtanke i en liten detalj. | Det är den lilla skillnaden som gör skillnaden.
Dagens möjlighet är att du ger någon några minuter extra. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
På väg in i dagen kan du löser problemet istället för ärendet. | En liten handling kan förändra hela upplevelsen för någon annan.
Idag kan du skapar lugn i ett stressat läge. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Just idag kan du berättar vad som händer härnäst. | Små förbättringar blir stora när många gör dem varje dag.
En kund kan minnas att du gör vardagen enklare för någon annan. | Det är så vi blir det självklara valet för kunden över tid.
En kollega kan få en bättre dag om du skriver lite mer mänskligt. | När människor känner sig trygga kommer de tillbaka.
